#,What is the name of your organization?,How often does management review your performance and explain how to improve?,How would you describe your job title?,Can you tell us your organization's vision.,"On a scale of 1 - 10, 10 being the best score, how comfortable are you sharing new ideas and insights with co-workers. ",Do you feel properly equipped to do your job?,Do you feel that you are part of a team working together for a common goal?,Choose one word to describe the culture of your organization.,"What is the purpose your organization? In other words, who are your clients, and how do you help them?",Do you feel that leadership or management is interested in your success?,"On a scale of 1 - 10, 10 being the highest, how inspiring is your organization's purpose.",Start Date (UTC),Submit Date (UTC),Network ID
1d27fa31383c515ffefdb6a00739c28b,d,Monthly or more,Operator,d,,,,Purpose Driven,d,Management is only interested in my success at work.,2,2019-01-06 17:26:52,2019-01-06 17:27:26,4d7104d221
daef3fc457398e67cb7f20c7fac17bd9,BoxerCo,Monthly or more,Manager,Not really,7,Yes,I do not feel like part of the team.,Needs Improvement,Money,Management is interested in my success and developing me as a person.,6,2019-01-06 11:43:39,2019-01-06 11:46:31,58836a68e4
a2e06770a449591922f67f7d3980055f,Fg,Monthly or more,CEO / C - Suite Executive,Hjm,9,Somewhat,"Sometimes I feel like we are a team, and the goal is clear.",Needs Improvement,Ghj,Management is interested in my success and developing me as a person.,5,2019-01-05 00:07:59,2019-01-05 00:09:36,fe00ad42ff
fc5c4bb70d756549fe7653bcd74ebe23,Buttheads Annonymous,Quarterly,Operator,Be the best butthead you can be ,10,Yes,"We are a team with clear goal, and I am a member.",Honest,Buttheads is our name and buttheads is our game,Management is interested in my success and developing me as a person.,9,2019-01-04 18:16:28,2019-01-04 18:19:11,4d7104d221
8b3c5bea04c69b9d26c351ad4882f856,f,Once a Year,Operator,ddd,5,Somewhat,"Sometimes I feel like we are a team, but the goal is not clear.",Team Focused,d,Management is only interested in my success at work.,7,2019-01-04 05:24:02,2019-01-04 05:25:06,4d7104d221
62fea6d7f68c1ff89b63c9c4f21f4ac5,k,Never,CEO / C - Suite Executive,d,2,Somewhat,"Sometimes I feel like we are a team, but the goal is not clear.",Honest,d,Management is only interested in my success at work.,2,2019-01-04 02:17:48,2019-01-04 02:18:19,4d7104d221
36e089763f8119aa3df55e648cc727d5,daniel's test,Once a Year,Director,good,8,Yes,"Sometimes I feel like we are a team, and the goal is clear.",Purpose Driven,We run this,Management is only interested in my success at work.,5,2019-01-04 01:29:03,2019-01-04 01:37:26,4d7104d221
8dc71a1b3fba53e57b20e367faf7a39b,Burwick Consulting,Never,CEO / C - Suite Executive,No,0,No,I do not feel like part of the team.,Needs Improvement,None,I do not feel that management is interested in my success.,0,2019-01-04 01:23:43,2019-01-04 01:27:10,4d7104d221
89a226b56519433845d24a3f7c956362,Burwick Consulting,Monthly or more,Director,To consult,7,Yes,"Sometimes I feel like we are a team, and the goal is clear.",Purpose Driven,To help our clients manage,Management is interested in my success and developing me as a person.,8,2019-01-04 01:18:44,2019-01-04 01:23:21,4d7104d221
08ffe4d37a6e7dc1d3763dee6d41ca22,,Once a Year,Manager,,3,Somewhat,"Sometimes I feel like we are a team, but the goal is not clear.",Honest,,I do not feel that management is interested in my success.,7,2019-01-03 18:34:19,2019-01-03 18:34:50,4d7104d221
0ea134411f2f6eb3502f39779005ee5e,,Once a Year,Operator,,2,Yes,"Sometimes I feel like we are a team, and the goal is clear.",Honest,,Management is interested in my success and developing me as a person.,3,2019-01-03 18:06:01,2019-01-03 18:06:30,4d7104d221
